저자명,UID,address,nickname,info1,range1,intro,info2,range2,record,range3
CK에듀,9156,ckedu,CK에듀｜쏠북｜나만의 영어힐러,출제 원리를 이해하고 스스로 풀어내는 힘을 키우는 영어 콘텐츠,영어 (중고등),나만의 영어힐러,"강남구청인강 영어 1등 대표강사! 압도적인 강의력으로 차별화된 학습을 제공합니다.

출제자의 시각에서 내신을 완벽하게 대비할 수 있는 학습법을 제시하며, 문제의 출제 원리와 의도를 파악해 학생이 해결책을 찾을 수 있도록 안내합니다.

영어에 대한 어려움을 없애고, 자신감을 불어넣는 ""영어 힐러""로서, 학생들이 영어를 쉽고 재미있게 실력을 업그레이드할 수 있도록 최선을 다하겠습니다!","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어",#NAME?,NE능률
하박영어,924,kkalchip,하박영어｜쏠북｜실전대비 변형문제 전문,출제 핵심을 꿰뚫는 다양한 변형문제로 실전 감각을 완성하세요.,영어 (고등),실전대비 변형문제 전문,"하박영어는?

학생들에게 비판적 사고, 창의적 문제 해결, 언어 능력 심화, 자기주도 학습 역량, 시험 대비 능력을 키워주며 성취감과 학습 동기를 부여하는 자료를 제작하고자 합니다.

학생 수준에 맞춘 난이도로 문제를 제작하고, 독창적으로 구성했습니다. 또한 간결하고 명확한 해설로 학습 효율성으로 높였습니다.

실제 내신 시험에 자주 출제되는 문제 유형을 기반으로 학생들이 시험 성적에서 실질적인 성과를 낼 수 있도록 돕습니다.
섬세한 난이도 조절과 명확한 해설로 학습 효과를 극대화하고, 학생들이 성취감과 자신감을 가질 수 있는 콘텐츠를 제공합니다.

확실한 내신 대비, 하박영어 자료를 통해 경험해보세요.","고등 1학년, 2학년 (내신 영어)","- 20년 이상 영어 강사 경력
- 하박 영어 카페 운영 ",YBM
시드 잉글리쉬,9318,seedenglish,시드 잉글리쉬｜쏠북｜코딩하는 영어 선생님,VBA와 Python 코딩을 활용해 학습자 맞춤형 자료를 빠르고 효율적으로 제공합니다,영어 (고등),코딩하는 영어 선생님,"시드 잉글리쉬는 한글과 엑셀 기반의 VBA와 Python 코딩을 활용하여, 효율적이고 정밀하게 학습 자료를 제작합니다.

독특한 문법 구조 시각화와 직독직해 기법을 통해 학생들의 문해력과 영어 실력을 동시에 향상시킬 수 있는 자료를 제공하며,

고난도 워크북과 변형문제부터 중하위권 맞춤 자료까지, 학생 수준과 목표에 맞춘 창의적인 변형 지문으로 독해력과 문제 해결 능력을 키울 수 있습니다.

코딩을 통한 세밀한 분석의 제작 노하우는 시드 잉글리쉬 블로그에서 확인할 수 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 현) 시드 잉글리쉬 대표
- 현) 네이버 블로그 영어 문서 및 프로그램 제작자 1년차
- 현) 코딩하는 영어 선생님 8년차
- 전) 영어 문서 제작 7년
- 전) 영어 강의 7년","수능/모의고사, EBS"
비밀노트(edu-lab.kr),963,bimilnote,비밀노트 ｜쏠북｜고등 영어의 대명사,전국 고등학교 기출을 분석해 만든 적중률 높은 예상 문제!,영어 (고등),고등 영어의 대명사,"안녕하세요. 비밀노트입니다.

애써 소리내지 않아도 묵묵히 최선을 다해 양질의 자료를 제작하면 판도라의 상자가 열리듯 비밀노트가 세상에 알려질거라는 중의적인 표현을 가진 ‘비밀노트’라는 이름을 사용하고 있습니다.

수업 자료 제작의 원조격이라고 불리는 김신조 선생님을 비롯한 연구진 선생님들과 함께 시작하여 수년 간 학습 콘텐츠를 전문적으로 제작해왔으며, 수없이 많은 선생님들이 이용해주셨습니다. 

변형문제부터 원문반영 분석, 최종찍기(信최종찍기), 서술형 집중 대비 등 다양한 유형의 자료를 제작하고 연구합니다.

전국 고등학교의 기출 문제를 철저하게 분석하여 높은 적중률의 예상 문제와 복습 자료를 제공합니다. ’Quality endures’ 이라는 말처럼 내용의 퀄리티를 수업 자료의 핵심으로 생각합니다. 

비밀노트 자료를 보는 모든 분들이 인생 속에서 각자의 주인공이 되어 살아가시길 소원합니다. 비밀노트의 자료를 통해 무엇인가를 이루어 가시는 과정 속에 비밀노트는 든든한 조력자가 되겠습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
최상위권부터 하위권까지 등급 별 커리큘럼 제공",#NAME?,수능/모의고사
내신필공칠,9989,p107,내신필공칠｜쏠북｜고퀄리티 문항의 최강자!,최신 기출 경향을 반영한 고퀄리티 문항. 내신 준비는 내신필공칠로 끝!,영어 (중고등),고퀄리티 문항의 최강자!,"내신필공칠은 누구나 풀 수 있는 쉬운 문제를 제작하는 것을 지양합니다. 실제 학교 기출 문제를 바탕으로 분석한 정답 코드와, 지문에 대한 깊은 이해도를 통해 연습할 수 있는 콘텐츠를 제작합니다.  

해설을 꼼꼼하게 제작했기 때문에 해설지를 통해 선생님과 학생 모두가 수업이나 학습에 실질적인 도움을 받을 수 있습니다. 

1단계부터 5단계까지 단계 별 콘텐츠를 제공하고 있어 세부적인 난이도 관리를 통한 다양한 학습이 가능하며, 시험 문제의 난이도가 높은 특목고, 자사고 학생들도 학습에 활용할 수 있습니다. 

최신 내신 출제 경향을 분석하고 다양한 서술형 문항과 신유형 문항을 출제합니다. ’파악하기’ 워크북을 활용하면 모든 학생들이 지문의 내용을 한 번에 이해하고 논리 구조를 파악할 수 있습니다. 

현장 강의와 콘텐츠 제작을 병행하며 현장의 다양한 요구를 수용하고, 쏠북에서 콘텐츠를 사용하시는 선생님들의 요구를 자료에 반영하고자 합니다. 이를 통해 선생님과 학생 모두에게 도움이 되는 자료를 제작하는 것을 목표로 합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어
최상위권부터 하위권까지 등급 별 콘텐츠 제공",#NAME?,수능/모의고사
입시영어 석쌤,98907,,,,영어 (중고등),,,,,"수능/모의고사, NE능률, YBM"
손빈,55745,,,,영어 (중고등),,,,,"수능/모의고사, NE능률, YBM"
메이플북스,1012,maplebooks,"메이플북스｜쏠북｜고등영어, 1등급의 공식을 제시하다.","메이플북스, 전문가 분석으로 학습 시간을 줄이고 내신 1등급에 필요한 모든 것을 담다.",영어 (중고등),"고등영어, 1등급의 공식을 제시하다.","전문 출판사가 만들면 내신 자료의 기준이 다릅니다.

메이플북스는 다년간의 출판 노하우와 전문가의 체계적인 분석을 바탕으로, 학생들의 시간을 아끼고 1등급에 필요한 모든 핵심을 담아낸 고품질 영어 콘텐츠를 제공하는 고등 영어 전문 브랜드입니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","- 현) 도서출판 메이플북스 대표
- 현) 네이버 어학 인플런서 (영어) 
- 현) 네이버 프리미엄콘텐츠 대표 저자
- 현) 네이버 엑스퍼트 영어 
- 전) 캐나다 토론토 토플센터 설립 운영","지학사, YBM"
변형문제스토어,270,loveenglish,변형문제 스토어｜쏠북｜최고 내신 특화 자료,검증된 내신 특화 자료로 최고 등급을 향해!,영어(고등),최고 내신 특화 자료,"검증된 내신 특화 자료로 최고 등급을 향해!

이미 대다수가 알고 있는, 많은 팔로워를 보유한 변형문제 스토어입니다.

수년 간의 교육 경험과 철저한 분석을 통해 검증된 내신에 꼭 필요한 핵심 변형문제만을 담았습니다.

고객의 의견을 반영하여, 원하는 자료를 제공합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)",영어강사 및 원장 20년 이상 내신 전문 강의 ,수능/모의고사
리카수니,989,,,,영어 (중고등),,,,,"쎄듀, NE능률, YBM"
이클라우드,955,,,,영어 (중고등),,,,,"쎄듀, 수능/모의고사, 다락원, EBS, NE능률, YBM"
서브텍스트북,23627,,,,영어 (중고등),,,,,"수능/모의고사, EBS, NE능률, YBM"
유별난!,16172,starenglishtest,"유별난!｜쏠북｜충실한 기출분석, 탄탄한 기본기 유별난! 영어공부",탄탄한 기본기 구축과 실전에 바로 적용할 수 있는 최고의 문제를 제공합니다.,영어 (고등),"충실한 기출분석, 탄탄한 기본기 유별난! 영어공부","철저한 기출 분석을 통한 탄탄한 기본기 구축을 목표로 합니다.
다수의 회원을 보유한 '유별난! 영어공부' 네이버 카페를 운영하고 있으며, 잠실 및 대치에서 중고등 영어 강의와 내신 및 수능 대비 교재 집필을 하고 있습니다.
기초부터 심화까지 적용할 수 있고 서술형 준비에도 부족함이 없는, 기본에 충실한 깔끔한 자료로 실력 증진을 경험할 수 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","유별난! 영어공부' 네이버 카페 운영
대치 잠실 지역 영어강의 20년 및 교재 제작","NE능률, YBM"
펜슬잉글리쉬,17867,pencilenglish,펜슬잉글리쉬｜쏠북｜펜슬만 따라가면 1등급!,"출제자의 시선으로, 성적을 디자인하다",영어(고등),펜슬만 따라가면 1등급!,"출제자의 시선으로, 성적을 디자인하다.

‘펜슬 잉글리쉬’는 단순히 문제를 푸는 영어가 아니라, 출제자의 눈으로 사고하고 전략적으로 접근하는 영어 학습 자료를 만듭니다.

전직 고등학교 영어 교사이자, 현재 강남 8학군 전문 과외 교사로서 쌓아온 실제 내신 출제 경험과 현장 분석 노하우를 바탕으로, 
학생이 스스로 문제의 본질을 파악하고 정확히 정답을 찾을 수 있는 힘을 길러줍니다.

기출 분석, 고난도 변형, 실전 적중

성적을 결정짓는 차이를 만드는 내신 전문 브랜드, 바로 펜슬 잉글리쉬입니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 현) 대치동 영어 전문 과외
- 전) 서울 소재 고등학교 영어 교사",수능/모의고사
수훈영어,6357,,,,영어 (중고등),,,,,"수능/모의고사, YBM"
맥국어연구소,85652,mac,맥국어연구소｜쏠북｜결국 국어는 여기,최상의 문제 설계와 선지 구성으로 오답마저 학습으로.,영어(고등),결국 국어는 여기,"암기는 가장 나중에 따라오는 결과입니다.
이해와 추론 그리고 비판적 사고 뒤에 암기는 당연히 따라오는 부산물입니다. 

학습 순서의 재정립, 이것이 우리의 목표입니다.

출제의도 평가요소에 따른 최상의 문제설계와 그에 맞는 선지 구성방식으로 오답마저 학습으로.
이해 중심의 자료분석으로 상황과 맥락에 따른 추론과 비판적 독해에 한걸음 더.

완벽할 수는 없습니다. 
그것에 가까이 다가설 뿐입니다. 

맥국어연구소는 긴 말보단 하나의 자료로 그것을 대신하겠습니다.  ","고등 1학년, 2학년 (내신 국어)
고등 3학년, N수 (수능 국어)","- 전) 강남하이퍼 의대관 
- 전) 예섬분당관 
- 전) 대치에스학원 등 경력",EBS
변형문제스토어,270,loveenglish,변형문제 스토어｜쏠북｜최고 내신 특화 자료,검증된 내신 특화 자료로 최고 등급을 향해!,영어(고등),최고 내신 특화 자료,"검증된 내신 특화 자료로 최고 등급을 향해!

이미 대다수가 알고 있는, 많은 팔로워를 보유한 변형문제 스토어입니다.

수년 간의 교육 경험과 철저한 분석을 통해 검증된 내신에 꼭 필요한 핵심 변형문제만을 담았습니다.

고객의 의견을 반영하여, 원하는 자료를 제공합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)",영어강사 및 원장 20년 이상 내신 전문 강의 ,수능/모의고사
대치동시크릿,3553,daechisecret,대치동시크릿｜쏠북｜수업에서 바로 쓰는 진짜 영어 자료,선생님의 소중한 시간을 아껴드립니다.,영어(고등),수업에서 바로 쓰는 진짜 영어 자료,"선생님의 소중한 시간을 아껴드립니다.
수업 현장에서 바로 사용할 수 있는 실전형 자료를 제공합니다.

출제 가능성이 높은 문항을 엄선하고,
유형별로 전략적인 변형 문제를 구성하여
실제 평가에서 어떤 형태로 문제가 출제되더라도 완벽히 대비할 수 있도록 만들어진 자료입니다.

최다 빈출 유형부터 고난도 출제 포인트까지 문제화함으로써,
학생들이 다양한 출제 방식에 충분히 익숙해지고, 실전 감각을 체화할 수 있도록 구성되어 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 연세대학교 졸업
- 대치동 영어 강의 10년 경력","EBS, NE능률, YBM"
썬킴쌤 [최강 직독직해],954,,대치동시크릿｜쏠북｜최강 직독직해와 최고 본문분석,,영어(고등),최강 직독직해와 최고 본문분석,,,,"수능/모의고사, EBS, NE능률"
펜슬잉글리쉬,17867,pencilenglish,펜슬잉글리쉬｜쏠북｜펜슬만 따라가면 1등급!,"출제자의 시선으로, 성적을 디자인하다",영어(고등),펜슬만 따라가면 1등급!,"출제자의 시선으로, 성적을 디자인하다.

‘펜슬 잉글리쉬’는 단순히 문제를 푸는 영어가 아니라, 출제자의 눈으로 사고하고 전략적으로 접근하는 영어 학습 자료를 만듭니다.

전직 고등학교 영어 교사이자, 현재 강남 8학군 전문 과외 교사로서 쌓아온 실제 내신 출제 경험과 현장 분석 노하우를 바탕으로, 
학생이 스스로 문제의 본질을 파악하고 정확히 정답을 찾을 수 있는 힘을 길러줍니다.

기출 분석, 고난도 변형, 실전 적중

성적을 결정짓는 차이를 만드는 내신 전문 브랜드, 바로 펜슬 잉글리쉬입니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 현) 대치동 영어 전문 과외
- 전) 서울 소재 고등학교 영어 교사",수능/모의고사
김신조,71115,kimsinjo,김신조｜쏠북｜한 권으로 끝내는 완성형 교재,"기초부터 최상위까지, 학습의 시작과 끝을 함께합니다.",영어(고등),한 권으로 끝내기,"기초부터 최상위까지, 한 권으로 끝내는 완성형 교재
20년 이상 이그잼포유 운영진으로 활동하며 수많은 수험생과 함께해온 김신조입니다.
현재는 비밀노트에서 모의고사를 비롯해, EBS 등 수능 대비 자료를 직접 제작·제공하고 있습니다.

지문 하나, 단락 하나도 놓치지 않고 
기초 개념부터 실전 문제까지 모두 한 권에 담아, 학생들이 세밀하고 정확하게 공부할 수 있도록 설계된 교재를 만들고 있습니다.

꼼꼼함과 정확성으로 믿고 볼 수 있는 자료를 제공하겠습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","- 전) 이그잼포유 운영진
- 현) 비밀노트 모의고사 ebs 등 수능 관련 자료 제작 및 게시 중","쎄듀, 수능/모의고사, EBS"
올리브 트리,30195,olivetree,올리브트리｜쏠북｜English that grows with you,"심화 독해와 논리 사고, 내신 트렌드에 최적화된 실전형 문제",영어(고등),고난도 변형문제 전문,"내신대비  문제는 
1. 최신 내신문제 경향에 맞추어야 하고 2. 근본적으로 생각하고 풀어서 기본적인 실력을 향상시킬 수 있는 문제여야 하며 3. 내신 공부가 수능 실력의 향상으로 이어질 수 있어야 한다고 생각합니다. 
이 세가지 요건을 충족시키는 문제를 만들고 있습니다. 

자료의 특징

1. 철저한 지문분석을 통한 적중률 높은 문제
2. 최신 내신 경향에 맞춘 본문paraphrase된 문제 제공
3. 어휘, 빈칸 추론 문제에서도 본문 paraphrase 활용
4. 다양한 서술형 요약 문제 
5. 고학년을 위한 순서 배열 및 문장 삽입 문제에 본문 paraphrase 적용
6. 영어로 된 모든 선택지는 내신시험의 본문paraphraae를 대비하여 지문과 최대한 교집합이 많은 어휘를 사용합니다. 선택지에서 모르는 단어만 추가적으로 정리하여 암기해도 최선의 결과를 얻을수 있도록 구성되어 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","은평구 영어학원 운영 10년
강남분당 개인과외 등 고등부 강의경력 15년
정철어학원 강남캠퍼스 원장
정철 연구소 연구개발이사
Georgia State Univ. 영어교육학 석사 
연세대학교 신문방송학과 졸업 ",YBM
잉글리쉬마이갓_by 보듬책방,1376,mygod,"잉글리쉬마이갓_by 보듬책방｜쏠북｜내 신이 필요할 땐, 마이 갓!",더이상 헤매지 마세요. 모든 지문 100% 완벽 변형문제를 제공합니다.,영어(고등),"여러분 내(my)신(god)의 든든한 지원자, 마이갓!","대치동 현장과 온라인으로 강의하던 선생님들이 최신의 교육정보를 바탕으로 학생 눈높이에서 필요한 내용을 고민하였습니다.
이를 통해 공부가 부족한 중하위권 학생이 원하는 어법 선택형 문제부터 매우 높은 난이도의 서술형 문제들을 원하는 상위권 학생들의 니즈까지 모두 맞추어 단계별 연습문제를 제공합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)","이화여대 영어영문과
UCI TESOL 수료
(전) SKYEDU 온라인/강남 서초 메가스터디/ 대치 다원교육
(현) 보듬책방/보듬영어","수능/모의고사, NE능률, YBM"
이희완연구소,2751,learncraft,"이희완연구소｜쏠북｜수능도 내신도, 기출 코드에 맞추는 런크래프트","단어를 문맥에 맞게, 어법을 구조에 맞게, 독해를 평가원 코드에 맞게!",영어(고등),"수능도 내신도, 기출 코드에 맞추는 런크래프트","누구나 대치동 최고 수준의 인프라와 자료를 이용할 수 있는 콘텐츠를 제작합니다.
대치동에서 22년 동안 강사로, 원장으로, 또 콘텐츠 및 강사 인큐베이팅 연구소장으로 여러 1타 선생님 및 대형 학원에 콘텐츠를 제공해 왔습니다.
실제 수업 현장에서 교육과 수업의 차별화가 이뤄지도록 선생님과 학생들 모두에게 효능감이 느껴지는 좋은 콘텐츠를 제공하겠습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","청심국제중고등학교 영어과 강사
대치 미탐 다원 예섬 등 영어과 강사 24년
대치 다원교육 영어과 원장
주식회사 런크래프트 대표
메가, 대성, 이투스 모의고사 J 주간지 집필
대성, 이투스 고1~2 교과서 및 모의고사 내신컨털츠 ","쎄듀, 수능/모의고사, 다락원, EBS, NE능률, YBM"
일타영어,24125,em2046,일타영어｜쏠북｜고등 내신 일타자료,"연습은 어렵게, 실전은 쉽게! 적중률 높은 일타영어",영어(고등),고등 내신 일타자료,"일타영어는 다수의 고등학생들을 직접 가르치며, 매 기출 문제를 철저히 분석해 최신 출제 경향에 맞춘 자료를 제작하고 있습니다.
학생들의 반응과 성과가 검증된, 완성도 높은 자료들만 선별하여 업로드 중입니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어",해마다 고등학교 아이들을 좋은 대학에 보내고 있는 현직 강사이자 원장,"수능/모의고사, NE능률, YBM"
서브텍스트북,23627,subtextbook,서브텍스트북｜쏠북｜Don’t give up till you succeed,빈틈 없는 구성의 자료로 확실한 결과를 만들다,영어(고등),Don’t give up till you succeed ,"서브텍스트북 연구소는 부교재 자료 제작에 특화된 전문 연구소입니다.
다른 곳에서는 쉽게 찾기 어려운 고품질 자료를 제공하기 위해, 기존 자료를 철저히 분석하고 더 나은 콘텐츠를 만드는 데 집중하고 있습니다.
빈틈 없는 구성과 체계적인 설계로, 같은 시간을 학습해도 더 나은 결과를 이끌어낼 수 있도록 설계된 최상의 자료를 제공합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","- 전) 부산 양정 장정호 영어 전문학원 영어 전임 강사 8년
- 전) 부산 정관 em영어 부원장 7년
- 현) 부산 기장 정에듀 영어학원 부원장 7년","수능/모의고사, EBS, NE능률, YBM"
아이윌교육,10791,iwilledu,아이윌교육｜쏠북｜내일을 여는 내신 전문 브랜드,"AI가 아닌, 현직 선생님이 직접 만든 믿을 수 있는 자료입니다.",영어(고등),내일을 여는 내신 전문 브랜드,"아이윌교육은 학생들의 입장에서 부족한 부분을 채워주는 ‘물’ 같은 교육을 지향합니다. 

모든 자료는 AI나 ChatGPT을 사용하지 않고, 선생님이 직접 하나하나 꼼꼼하게 제작하고 있습니다.

빠르진 않지만, 정확하고 믿을 수 있는 교재를 만들어가겠습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어",학원 운영 20년 ,"수능/모의고사, EBS, NE능률"
탑앤탑 Gram맘,1026,topntopedu,탑앤탑 Gram맘｜쏠북｜선생님과 학생 모두를 위한 자료,내 수강생이 쓴다는 마음으로 꼼꼼하고 성의 있게 제작합니다.,영어(고등),선생님과 학생 모두를 위한 자료,"‘내 수강생이 쓴다’는 마음으로, 모든 자료는 정성과 책임감을 담아 꼼꼼하게 제작합니다.

수강생 혼자서도 학습할 수 있도록 철저한 분석과 다양한 문제로 구성했으며,
강사분들께는 수업 준비 시간을 절약해 주는 효율적인 자료를 제공합니다.","고등 1학년, 2학년 (내신 영어)","20년간의 강의 경험을 바탕으로, 내신에 강한 노하우를 자료에 고스란히 담아내는 전문가","수능/모의고사, EBS, NE능률"
올라영어,#N/A,Alla,올라영어｜쏠북｜고등내신영어 맞춤자료,자료 걱정 없이 수업에만 집중할 수 있는 세상을 만들어 갑니다.,영어(고등),고등내신영어 맞춤자료,"체계적이고 반복적인 학습을 통해 내신 관리를 돕습니다.
빠른 제작 속도와 일관된 형식, 높은 퀄리티로 언제나 신뢰할 수 있는 자료를 제공합니다.

저는 모든 원장님들이 자료 걱정 없이 수업과 운영에 집중할 수 있는
더 편안한 교육 환경을 만들어 가고자 합니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어",전국 고등영어 내신 전문 브랜드 ‘올라영어’ 운영,YBM
장유영,78707,koreanyooyoung,장유영｜쏠북｜국어가 최애 과목이 되는 짱쌤 매직,"개념부터 실전까지 완벽하게 책임지는 1등급 제조기, 국어 장유영 선생님입니다. ",국어 (중고등),국어가 최애 과목이 되는 짱쌤 매직,,"중등 3학년, 고등 1학년, 2학년 (내신 국어)
","- 현) 대치명인학원
- 현) 메가스터디 엠베스트
- 전) 스카이에듀 국어과 
- 전) 숨마투스 의치대관
- 전) 시대인재","수능/모의고사, EBS"
지영랩,107842,golab,"지영랩｜쏠북｜정제된 문제, 믿고 쓰는 자료",성실하게 만든 문제는 반드시 누군가에게 닿는다'는 믿음으로 매일 제작합니다.,영어 (중고등),"정제된 문제, 믿고 쓰는 자료","실전 대비에 도움이 되는 문제,
구조와 표현 하나하나를 고민하며 만듭니다.
반복 가능한 훈련, 다양한 유형 노출, 명확한 해설.
자료를 쓰는 분과 배우는 학생 모두의 시간을 아끼고, 성과를 남길 수 있도록 제작합니다.
AI는 도구로 활용하되, 최종 구성은 사람의 판단과 교육적 감각으로 완성합니다.
‘성실하게 만든 문제는 반드시 누군가에게 닿는다’는 믿음으로 매일 작업하고 있습니다.","고등 1학년, 2학년 (내신 영어)
고등 3학년, N수 (수능 영어)
중등 내신 영어","- 현) 영어 기반 AI 문제 생성 및 콘텐츠 개발 프로젝트 운영
- 전) 소규모 영어 독해 교재 분석 자동화 프로그램 개발 및 적용
- 전) 교육용 콘텐츠와 기술 결합 프로젝트 경험 보유",NE능률
정석영어 석쌤,#N/A,teachersbookcreator ,"정석영어 석쌤｜쏠북｜문해력·서술형·글쓰기, 영어의 정석을 만나다","정답을 알려주는 교재가 아니라, 생각하는 힘을 기르는 교재 ‘정석영어'",영어(고등),"내신 서술형, 문해력, 글쓰기까지 한 번에! 정석영어","""서술형에 강한 영어, 강사가 만든 정석 콘텐츠""
안녕하세요, 정석영어 시리즈 저자 석쌤입니다.

저는 현직 고등학교 영어 강사이자, 다년간 서술형과 독해 중심 수업을 진행하며 
수많은 학생들과 학부모님들의 고민을 직접 마주해왔습니다.

그 경험을 바탕으로, 단순히 문제만 제공하는 교재가 아니라 
학생이 '왜 이 답이 정답인지'를 스스로 깨닫고, '문장으로 표현하는 힘'을 기를 수 있는 
콘텐츠를 직접 만들게 되었습니다.

?? 『정석영어 시리즈』는 이런 점이 다릅니다.

?? 『서술형 정석』
단순히 서술형 문제를 나열하는 수준을 넘어서,

정답의 단서가 되는 지문 속 핵심 문장,

문법 패턴 해설,

학생의 사고를 도와주는 흐름 요약까지 포함된, 
교사·학생·학부모 모두를 위한 논술형 해설서입니다.

?? 문해력과 사고력 중심의 훈련
지문을 ‘읽고 이해’한 후, 제시어를 활용해 ‘논리적으로 표현’하는 과정을 
반복 훈련하게 구성되어 있어,
서술형 실력은 물론 독해력과 쓰기 능력까지 자연스럽게 성장할 수 있습니다.

?? 직접 수업에서 검증된 콘텐츠
책 속 문제와 해설은 모두 실제 수업에서 검증된 자료로, 
현장성과 실전성을 모두 갖추고 있습니다.
또한 고등학교 내신 기출과 모의고사 트렌드를 반영하여, 
학습 효율과 시험 적중도 모두를 만족시킬 수 있도록 제작하였습니다.

????? 저자 소개
현직 고등학교 영어 강사

정석영어 시리즈 대표 저자

서술형 전문 콘텐츠 개발 및 수업 진행

인스타그램 & 유튜브: [정석영어] 운영

주요 콘텐츠: 『서술형 정석』, 『문법 정석』

문해력 기반 초등 콘텐츠 개발 및 유튜브 연재 중

?? 교육 철학
학생이 스스로 “왜 이게 정답인지”를 설명할 수 있어야 진짜 이해입니다.
저는 단순 반복 훈련이 아니라, 이해 → 사고 → 표현의 과정을 통해
학생 스스로 말하고 쓰는 힘을 기를 수 있는 교육을 지향합니다.
정답을 알려주는 교재가 아니라, 생각하는 힘을 키우는 교재, 
그것이 ‘정석영어’가 추구하는 방향입니다.","고등 1학년, 2학년 (내신 영어)","- 현직 고등학교 영어 강사
- 정석영어 시리즈 대표 저자
- 인스타그램 & 유튜브: [정석영어] 운영
  주요 콘텐츠: 『서술형 정석』, 『문법 정석』
  문해력 기반 초등 콘텐츠 개발 및 유튜브 연재 중","지학사, NE능률, YBM"
